Struct	d.	Sect.	Sub-Sect.	Latin	English (Lodge)
x		1	7	seges, -etis, f.	field of grain; grain, crop, etc.
x		1	7	messis, -is, f.	a mowing, reaping, or ingathering of the corn, etc.; harvest; the harvested crops; harvest-time
xx	d.	1	7	mēnsis, -is, m.	month
xx	d.	1	7	mēnsa, -ae, f.	table
x		1	7	flōs, -ōris, m.	flower; (fig.) bloom (in var. senses)
xx		1	7	flōreō, -ēre, -uī, --	to bloom (rare except in partic. florens)
xx		1	7	sertum, -ī, n.	wreath of flowers, garland
x		1	7	rosa, -ae, f.	rose
// DN
x		1	7	laurus, -ī (or -ūs), f.	bay-tree, laurel; wreath of laurel
x		1	7	līlium, -ī, n.	lily
x		1	8	cibus, -ī, m.	food
x		1	8	epulae, -ārum, f. (pl.)	banquet, feast
x		1	8	famēs, -is, f.	hunger, famine
xx	d.	1	8	fāma, -ae, f.	report, rumor; fame, glory
x		1	8	mēnsa, -ae, f.	table
xx	d.	1	8	mēnsis, -is, m.	month
xx	d.	1	8	messis, -is, f.	a mowing, reaping, or ingathering of the corn, etc.; harvest; the harvested crops; harvest-time
x		1	8	pōculum, -ī, n.	drinking cup
x		1	8	vīnum, -ī, n.	wine; (lit.) vine
x		1	8	pōmum, -ī, n.	fruit (of any kind)
x		1	8	mel, mellis, n.	honey
x		1	9	animal, -ālis, n.	animal, living being
x		1	9	grex, gregis, m.	herd (in lit. and fig. senses)
xx		1	9	ēgregius, -a, -um	distinguished, uncommon; (lit.) out of the herd
xx		1	9	pecus, -oris, n.	cattle (general expression for the larger variety of domestic animals)
xx		1	9	pecus, -udis, f.	cattle (mainly of the smaller variety); sheep
xx		1	9	pecūnia, -ae, f.	money
x		1	9	equus, -ī, m.	horse
xx		1	9	eques, -itis, m.	horseman; Roman knight
// DN
x		1	9	bōs, bovis, mf. (gen. pl. boum; dat/abl. pl. bōbus/būbus)	ox
x		1	9	taurus, -ī, m.	bull
x		1	9	iuvencus, -ī, m.	bullock, heifer
x		1	9	ovis, -is, f.	sheep
x		1	9	cornū, -ūs, n.	horn; anything shaped like a horn
// DN
x		1	9	canis, -is, mf. (abl. sg. -e, gen. pl. canum)	dog
x		1	9	lupus, -ī, m.	wolf
x		1	9	leō, -ōnis, m.	lion
x		1	9	avis, -is, f.	bird
xx		1	9	āles, -itis, m.	bird; (as adj.) winged, swift
xx		1	9	penna, -ae, f.	feather; wing
x		1	9	serpēns, -entis, mf.	snake, serpent; (lit.) a creeping thing
xx		1	9	anguis, -is, mf.	serpent, snake
x		1	9	piscis, -is, m.	fish
x		1	10	populus, -ī, m.	people; nation; (freely) multitude
xx		1	10	plēbs, -is, f.	common people, commons; masses
xx		1	10	vulgus, -ī, n.	the common people
xx		1	10	vulgō, -āre, -āvī, -ātum	(general) to spread among the multitude; to make general, common, or universal; to put forth to the world; make known to all by words; publish
xx		1	10	turba, -ae, f.	confusion, uproar, tumult; crowd, throng; (lit.) noise
xx		1	10	turbō, -āre, -āvī, -ātum	to stir up, confuse, disturb (in var. senses)
x		1	10	gēns, gentis, f.	family; clan, tribe, nation, etc.
xx		1	10	genus, -eris, n.	birth, origin, lineage; offspring; tribe, people, etc.; sort, kind, etc.
xx		1	10	gignō, -ere, genuī, genitum	to beget; bear, bring forth
x		1	10	homō, -inis, m.	human being, man, person (opp. to deus, fera, pecus)
xx		1	10	hūmānus, -a, -um	pertaining to man, human; cultured, refined
x		1	10	vir, virī, m.	man (opp. to woman); husband; hero
xx		1	10	virtūs, -ūtis, f.	manliness, valor; (pl.) virtues
// DN
xx	d.	1	10	vīs (sg. only acc. vim, abl. vī; pl. vīrēs, -ium), f.	force, strength, energy
x		1	10	mulier, -eris, f.	woman (esp. married woman)
xx		1	10	fēmina, -ae, f.	female; woman
x		1	10	puer, puerī, m.	boy; (sometimes) slave; (pl.) children
xx		1	10	puella, -ae, f.	little girl; maiden
x		1	10	adulēscēns, -entis, mf.	a youth, young man; young woman, maiden (properly from the 15th or 17th until past the 30th year, but often till the 40th year, or even upwards)
x		1	10	virgō, -inis, f.	maiden, virgin, girl
x		1	10	senex, -is, mf.	an aged person, an old man, old woman; (comp.) an elder, elderly person; usually considered applicable from the 40th year of a person's life; to some the positive denoted a person turned 60 years, while the comparative denoted one between 45 and 60 years
xx		1	10	senectūs, -ūtis, f.	old age
xx		1	10	senātus, -ūs, m.	council of elders, senate
x		1	10	familia, -ae, f.	house-servants; household, family
x		1	10	parēns, -entis, mf.	parent (used for either father or mother)
// VN (paritūrus é mais comum que partūrus)
xx		1	10	pariō, -ere, peperī, partum (paritūrus)	to bring forth, give birth to, bear; accomplish, effect
xx	d.	1	10	parō, -āre, -āvī, -ātum	to prepare, get ready; acquire
// VN
xx	d.	1	10	pāreō, -ēre, -uī, -itūrus (with dat.)	to obey
x		1	10	pater, -tris, m.	father; (freely) ancestor; (fig.) elders, chiefs
xx		1	10	patria, -ae, f.	fatherland, country
x		1	10	māter, -tris, f.	mother
x		1	10	frāter, -tris, m.	brother
x		1	10	soror, -ōris, f.	sister
x		1	10	prōlēs, -is, f.	offspring, lineage, descendants; (lit.) off-shoot
x		1	10	fīlius, -ī, m.	son
// DN
xx		1	10	fīlia, -ae, f. (dat./abl. pl. fīliābus)	daughter
x		1	10	gener, -erī, m.	son-in-law
x		1	10	nepōs, -ōtis, m.	grandson; descendant in general; (pl.) descendants, posterity; (in a bad sense) a degenerate, spendthrift
x		1	10	dominus, -ī, m.	householder, master, lord
xx		1	10	domina, -ae, f.	householder, mistress, lady
x		1	10	prīnceps, -ipis, m.	(lit.) the first person in order, on a list etc.; one who originates, or first delivers, or declares, an opinion, etc.; (fig.) the first, chief, most eminent, most distinguished, etc.
xx		1	10	prīncipium, -ī, n.	beginning
x		1	10	socius, -ī, m.	ally, confederate
xx		1	10	comes, -itis, mf.	companion, comrade; attendant, follower
x		1	10	vīcīnus, -ī, m.	neighbour
xx		1	10	hospes, -itis, m.	guest, guest-friend; stranger; host
x		1	10	hērēs, -ēdis, mf.	heir
x		1	10	minister, -trī, m.	attendant, servant; tool, agent; (lit.) lesser one
xx		1	10	famulus, -ī, m.	house-slave, servant, attendant
x		1	10	barbarus, -ī, m.	foreigner, stranger (of all but Greeks and Romans)
x		1	10	pauper, -eris, m.	a poor person
x		1	11	corpus, -oris, n.	body
x		1	11	caput, -itis, n.	head (both in lit. and many fig. senses)
x		1	11	coma, -ae, f.	hair, tresses
xx		1	11	capillus, -ī, m.	head of hair, hair
xx		1	11	crīnis, -is, m.	hair (esp. of the head and in pl.); (fig.) tail of a comet
x		1	11	faciēs, -ēī, f.	form, figure, appearance, face
xx		1	11	vultus, -ūs, m.	look, expression, mien; face
x		1	11	frōns, frontis, f.	forehead, brow; front (of locality)
xx	d.	1	11	frōns, frondis, f.	leaf; leafage, foliage
x		1	11	oculus, -ī, m.	eye
x		1	11	ōs, ōris, n.	mouth; face; (pl. sometimes) speech
xx	d.	1	11	os, ossis, n.	bone; body
xx		1	11	ōsculum, -ī, n.	kiss; (lit.) little mouth
x		1	11	dēns, dentis, m.	tooth
x		1	11	lingua, -ae, f.	tongue; language
x		1	11	gena, -ae, f.	cheek, eye
x		1	11	cervīx, -īcis, f.	neck (esp. nape of the neck); head, shoulders
xx		1	11	collum, -ī, n.	neck (in general)
x		1	11	pectus, -oris, n.	breast, bosom, chest, etc.; (fig.) soul, courage, wisdom, etc.
x		1	11	cor, cordis, n.	heart
x		1	11	sanguis, -inis, m.	blood
x		1	11	tergum, -ī, n.	back, rear
x		1	11	bracchium, -ī, n.	fore-arm, arm; (fig.) yard-arm, branch
x		1	11	gremium, -ī, n.	lap, bosom
x		1	11	manus, -ūs, f.	hand; (in many fig. usages as) band, force, etc.
// DN
xx		1	11	dexter, -t(e)ra, -t(e)rum	right (opp. to sinister, laevus)
xx		1	11	sinister, -tra, -trum	left (opp. to dexter)
xx		1	11	laevus, -a, -um	left, left-hand; (fig.) awkward, foolish, etc.
xx		1	11	palma, -ae, f.	palm (of hand); anything resembling hands, esp. blade of oar, palm-tree, palm-branch, wreath of palm; victory
xx		1	11	digitus, -ī, m.	finger
x		1	11	pēs, pedis, m.	foot
xx		1	11	impediō, -īre, -īvī, -ītum	hinder, encumber (in var. senses); (lit.) put the foot in
xx		1	11	expediō, -īre, -īvī, -ītum	extricate; (lit.) make the foot free
xx		1	11	pedes, -itis, m.	foot-soldier, infantryman
xx		1	11	passus, -ūs, m.	double pace (about 5 feet); (lit.) spreading
xx		1	11	vestīgium, -ī, n.	footstep, footprint, track, trace
x		1	11	membrum, -ī, n.	limb, member (of an animal body); body
xx		1	11	fōrma, -ae, f.	shape; structure, beauty, etc.
xx		1	11	fōrmōsus, -a, -um	finely formed, beautiful, handsome
xx		1	11	figūra, -ae, f.	form, shape
xx		1	11	speciēs, -ēī, f.	aspect, appearance
xx		1	11	imāgō, -inis, f.	image, form, figure, etc.
xx		1	11	habitus, -ūs, m.	condition, attire
xx		1	11	vestis, -is, f.	garment, robe; clothing, drapery
x		1	12	animus, -ī, m.	spirit, feeling, mind (the emotional part) (opp. to mens, the rational part); (fig.) courage, high spirits
xx		1	12	anima, -ae, f.	aire, breeze, breath, spirit; life, soul (esp. in plural)
xx		1	12	mēns, mentis, f.	mind (the rational faculty)
xx		1	12	ratiō, -ōnis, f.	(lit.) a thinking, reckoning; (in many senses) method, way; account; system or plan; consideration or reason, etc.
xx		1	12	ingenium, -ī, n.	disposition, temperament; ability, genius; (lit.) inborn quality
x		1	12	memoria, -ae, f.	recollection, memory; tradition, record
xx		1	12	memor, -is	mindful of, remembering
xx		1	12	memorō, -āre, -āvī, -ātum	to recall, recount, relate
xx		1	12	meminī, -isse, --	to remember, recollect
xx		1	12	oblīvīscor, -ī, oblītus sum	to forget
// DN
x		1	12	sponte (abl., gen. spontis very rare), f.	of one's own will, voluntarily
x		1	13	īra, -ae, f.	anger, wrath
xx		1	13	īrāscor, -ī, --	to get angry
xx		1	13	furor, -ōris, m.	rage; (person.) fury
xx		1	13	odium, -ī, n.	hatred; (also) unpopularity
x		1	13	fidēs, -eī, f.	trust, faith; pledge, reliability, protection, etc.
xx		1	13	fidēlis, -e	faithful
xx		1	13	fīdus, -a, -um	trustworthy, faithful
xx		1	13	cōnfīdō, -ere, -fīsus sum	to trust firmly
x		1	13	spēs, -eī, f.	hope
xx		1	13	spērō, -āre, -āvī, -ātum	to hope
xx		1	13	dēspērō, -āre, -āvī, -ātum	to give up hope, despair
x		1	13	clēmentia, -ae, f.	gentleness, mildness
x		1	13	dēliciae, -ārum, f. (pl.)	delight, pleasure, luxury; (of living beings) a beloved object, darling, favourite, delight
x		1	14	sermō, -ōnis, m.	conversation, talk, discourse; language; (lit.) joining of words
x		1	14	clāmor, -ōris, m.	outcry, shout
xx		1	14	clāmō, -āre, -āvī, -ātum	to call, cry out, shout
x		1	14	tumultus, -ūs, m.	commotion, uprising
xx	d.	1	14	tumulus, -ī, m.	(esp. of land) hillock, mound; (lit.) little swelling
x		1	14	murmur, -uris, n.	murmuring, murmur
x		1	14	rūmor, -ōris, m.	(lit.) vague sound, murmur; report, rumor
x		1	14	iocus, -ī, m.	jest, joke, sport or sportiveness in words; (fig.) a cause for jesting, a subject for mirth
x		1	15	verbum, -ī, n.	word
x		1	15	littera, -ae, f.	letter (of the alphabet)
xx		1	15	litterae, -ārum, f. (pl.)	letters, literature; (also) epistle, letter
x		1	15	epistula, -ae, f.	letter, despatch
x		1	15	versus, -ūs, m.	(fig.) rank, tier; (esp.) verse; (lit.) a turning
x		1	15	fābula, -ae, f.	a fictitious narrative, tale, story; dramatic poem, drama play; fable
x		1	15	historia, -ae, f.	a narrative of past event, history; narrative, account, tale, story
x		1	15	charta[carta], -ae, f.	leaf of the Egyptian papyrus; paper; (fig.) that which is written upon paper, i.e. a writing, letter, poem etc.; a thin leaf, plate, lamina, tablet
x		1	15	titulus, -ī, m.	(lit.) inscription, label, title; notice, bill, placard (e.g. that something is to be sold/let; inscription on a tomb; (fig.) honourable appellation, title; pretence, pretext
x		1	15	lyra, -ae, f.	a lute, lyre; (fig.) lyric poetry, song; the constellation Lyra
x		1	15	chorus, -ī, m.	dance, choral dance; band, troop
x		1	15	poēta, -ae, m.	poet
x		1	15	auctor, -ōris, mf.	originator, producer, founder, etc.; (lit.) increaser
x		1	15	ars, artis, f.	skill, art (in all meanings, good and bad)
x		1	16	labor, -ōris, m.	toil, exertion (in both lit. and fig. senses)
xx	d.	1	16	lābor, lābī, lāpsus sum	to glide, slip, slide
xx		1	16	labōrō, -āre, -āvī, -ātum	to toil, work, work out; (fig.) be in trouble
xx		1	16	opus, -eris, n.	work (in many senses)
x		1	16	negōtium, -ī, n.	business, employment, etc.; (lit.) lack of leisure
xx		1	16	merx, -cis, f.	merchandise, goods
xx		1	16	pretium, -ī, n.	price
xx		1	16	ops, opis, f.	assistance, aid; (pl.) means, resources
x		1	16	ōtium, -ī, n.	leisure
xx		1	16	quiēs, -ētis, f.	rest, quiet, esp. sleep, slumber, even death
xx		1	16	quiēscō, -ere, -ēvī, -ētum	to go to rest; keep quiet, esp. sleep
x		1	17	urbs, urbis, f.	city
x		1	17	via, -ae, f.	way, route, street
xx		1	17	obvius, -a, -um	open to; (with verbs ire etc.) meet; (lit.) in the way of
xx		1	17	iter, itineris, n.	journey, route, line of march; (lit.) a going
x		1	17	mūrus, -ī, m.	wall
// DN
x		1	17	turris, -is, f. (acc. sg. -im, abl. sg. -i)	tower
x		1	17	domus, -ūs, f.	home, house
xx		1	17	vīlla, -ae, f.	country-seat
x		1	17	līmen, -inis, n.	threshold, (rarely) lintel; door, house; (occasionally) barrier at a race
x		1	17	iānua, -ae, f.	outer door, gate
x		1	17	aula, -ae, f.	fore court, hall; palace
x		1	17	columna, -ae, f.	column
x		1	17	thalamus, -ī, m.	bed-chamber, couch, (esp.) bridal bed
xx		1	17	torus, -ī, m.	bed, couch; royal seat or throne, etc.
x		1	18	mīles, -itis, m.	soldier; (sometimes collective) soldiery, soldiers
xx		1	18	mīlitāris, -e	pertaining to a soldier, military
xx		1	18	mīlitia, -ae, f.	military service, esp. in phrase domi militiaeque
x		1	18	cohors, -tis, f.	cohort; (fig.) band, troop
x		1	18	legiō, -ōnis, f.	legion; (lit. a choosing)
xx		1	18	lēgātus, -ī, m.	lieutenant (i.e. regularly the second in command); envoy
x		1	18	arma, -ōrum, n. (pl.)	arms (defensive armor); implements of war; implements in general, tackle
xx		1	18	armō, -āre, -āvī, -ātum	to arm, equip
xx		1	18	tēlum, -ī, n.	missile, weapon; spear, bolt, javelin, etc.
x		1	18	gladius, -ī, m.	sword (the prose word)
xx		1	18	ēnsis, -is, m.	sword, steel, glaive, brand, falchion; poetic word for gladius
x		1	18	arcus, -ūs, m.	bow; arch
xx		1	18	sagitta, -ae, f.	arrow
x		1	18	arx, arcis, f.	citadel, castle; summit
x		1	18	moenia, -ium, n. (pl.)	walls, fortifications
x		1	18	castra, -ōrum, n. (pl.)	camp
xx		1	18	castellum, -ī, n.	fort, redoubt; (lit.) little camp
x		1	18	bellum, -ī, n.	war; (lit.) contest between two
xx		1	18	proelium, -ī, n.	fight, battle
xx		1	18	impetus, -ūs, m.	charge, attack, rush
x		1	18	pāx, pācis, f.	peace
x		1	18	sīgnum, -ī, n.	sign, mark (in var. senses); (mil.) standard, signal
xx		1	18	sīgnificō, -āre, -āvī, -ātum	to indicate by signs, announce
x		1	18	victor, -ōris, m.	conqueror
xx		1	18	victōria, -ae, f.	victory
xx		1	18	vincō, -ere, vīcī, victum	to conquer, vanquish
xx	d.	1	18	vinciō, -īre, vinxī, vinctum	to bind
x		1	18	triumphus, -ī, m.	triumph
x		1	18	praeda, -ae, f.	booty, prey
x		1	18	hostis, -is, mf.	stranger, foreigner, enemy (public as opp. to inimicus, a private enemy)
x		1	18	custōs, -ōdis, mf.	guard, watchman
xx		1	18	custōdia, -ae, f.	protection, custody, garrison, etc.
x		1	18	praesidium, -ī, n.	garrison; protection, guard
x		1	18	perīculum, -ī, n.	danger, peril
x		1	18	auxilium, -ī, n.	support, assistance; (pl.) auxiliary forces
x		1	19	cīvis, -is, mf.	citizen
xx		1	19	cīvīlis, -e	belonging to a citizen, civil
xx		1	19	cīvitās, -ātis, f.	citizenship; (particulary) state, community
x		1	19	iūs, iūris, n.	right, law
xx		1	19	iūstitia, -ae, f.	justice, fairness
xx		1	19	iūstus, -a, -um	right, just, fair
xx		1	19	iniūria, -ae, f.	injustice, wrong, affront
xx		1	19	iūdex, -icis, m.	judge, juror, arbiter
xx		1	19	iūdicium, -ī, n.	judgment, decision
// DN
xx		1	19	līs, lītis, f. (gen. pl. -ium)	(lit.) suit at law; (hence) damages
xx		1	19	lēx, lēgis, f.	law, statute, ordinance (made by Senate and People)
x		1	19	carcer, -eris, m.	prison; barriers, starting place
x		1	19	forum, -ī, n.	market-place; Roman forum or place of public meeting
x		1	19	cūria, -ae, f.	senate house
x		1	19	prōvincia, -ae, f.	province; (fig.) official duty, office, charge
x		1	19	corōna, -ae, f.	garland, chaplet, wreath (both lit. and fig.)
x		1	20	fās, n. (indecl.)	divine right or law; (with inf.) permissible
xx		1	20	nefās, n. (indecl.)	(lit.) anything contrary to divine law; hence impiety, wickedness, etc.
x		1	20	mōs, mōris, m.	manner, way, custom, habit
x		1	20	decus, -oris, n.	comeliness, beauty, grace; ornament, glory
x		1	20	mūnus, -eris, n.	task, function, service; gift, offering
x		1	20	praemium, -ī, n.	bounty, reward
x		1	20	honor[honōs], -ōris, m.	honor, praise, glory
xx		1	20	honestus, -a, -um	honorable
x		1	20	laus, -dis, f.	praise
xx		1	20	laudō, -āre, -āvī, -ātum	to bestow praise, praise
x		1	20	fāma, -ae, f.	report, rumor; fame, glory
xx	d.	1	20	famēs, -is, f.	hunger, famine
xx		1	20	glōria, -ae, f.	glory, fame
x		1	20	grātia, -ae, f.	favor, goodwill; influence; thanks, gratitude
xx		1	20	grātus, -a, -um	acceptable, agreeable, pleasant; grateful
xx		1	20	ingrātus, -a, -um	not acceptable, disagreeable; unfeeling
x		1	21	clādēs, -is, f.	destruction, slaughter
x		1	21	lūctus, -ūs, m.	grief, mourning (esp. as shown by outward signs)
xx	d.	1	21	lūcus, -ī, m.	sacred grove; grove
x		1	21	lacrima, -ae, f.	tear
x		1	21	scelus, -eris, n.	wicked deed, crime, sin
x		1	21	fraus, -dis, f.	fraud, deception (in many senses)
x		1	21	culpa, -ae, f.	guilt, fault, blame
x		1	21	fūrtum, -ī, n.	theft; (lit.) thing stolen
x		1	21	īnsidiae, -ārum, f. (pl.)	ambush, ambuscade; (fig.) stratagem, treachery; (lit.) a sitting against
x		1	21	venēnum, -ī, n.	drug; poison, charm
x		1	21	error, -ōris, m.	wandering; error, mistake, deception
xx		1	21	errō, -āre, -āvī, -ātum	to go astray, wander; (fig.) err
x		1	21	crīmen, -inis, n.	(lit.) verdict, decision; charge, accusation
x		1	21	poena, -ae, f.	penalty, punishment
x		1	21	vulnus, -eris, n.	wound
xx	d.	1	21	vultus, -ūs, m.	look, expression, mien; face
x		1	21	verber, -eris, n.	lash, whip; (reg. in pl.) stripes
xx		1	21	verberō, -āre, -āvī, -ātum	to lash (both lit. and fig.)
x		1	22	mors, -tis, f.	death
xx		1	22	mortuus, -a, -um	dead
xx		1	22	mortālis, -e	liable to death, mortal; anything that has to do with humanity
xx		1	22	morior, morī, mortuus sum	to die
